time,a1,a2,a3,a4,a5,a6,a7,a8,6
12,8,25.30850984485822,4,19.09341606176828,3,0,6.074981573479878,13.36285048884481,5
10,6,11.679242643973037,3,-0.10798413589815148,4,0,49.94262475657059,30.113562673943395,5
10,6,11.780474756262914,3,1.8342409839542633,1,0,50.47338538546105,29.806872321129948,5
10,6,13.493291994226402,4,6.737275307411253,3,0,38.71642432936802,24.071462595407343,5
10,9,13.727636979086675,3,7.052434164063319,2,0,33.80363516079576,23.470882808459688,5
10,6,10.496631312150228,3,0.2639332517388322,5,0,48.40952704699186,29.448068814474915,5
10,6,8.811655026907813,3,-0.2409010546010233,2,0,50.04644971285544,31.50421222345641,5
10,8,14.378109604454535,3,7.091624478671663,3,0,38.22142374795489,26.06690876680935,5
10,6,10.475053218300927,3,2.96181255142994,5,0,50.003457486530856,29.312463727993524,5
10,7,9.823479770370474,3,0.5847497799362191,1,0,48.64245006542396,31.35367768734447,5
12,4,21.639514905472005,3,18.42336212225934,2,0,5.930464319721251,10.474984922387993,5
10,6,14.249585730196666,3,3.7973883749918684,4,0,48.663906658483256,27.11288671606551,5
12,8,24.838004855796093,4,18.88564973417544,3,0,8.073074226276244,14.450089057388011,5
12,6,22.17096969363636,2,19.52777848201982,1,0,7.927748221838563,12.033776611315794,5
10,8,8.275085662204459,1,4.032313572008237,0,0,42.390544789936996,27.75094228994308,5
10,6,12.013426226506105,3,2.9539940185653855,5,0,48.26673809202294,29.669729865128257,5
10,6,14.842716250090454,3,5.621674734943612,2,0,38.24377660049273,24.79693835214382,5
10,6,13.192201954528416,2,6.909815921989851,3,0,34.71702378111056,25.198310728826716,5
10,5,12.141875366882541,3,0.7499517430536304,4,0,52.81287950510149,31.9311252225567,5
10,6,13.86733657299619,3,5.086557215043381,1,0,37.67960313595611,26.59370181277605,5
10,4,13.407613542406395,3,5.466932047413358,4,0,38.488743370311155,25.62096841502271,5
10,6,14.694998536906697,4,6.9907535936843646,1,0,38.05122477869761,26.00356179678021,5
12,6,23.516627962751528,3,19.11594537765312,2,0,3.2678982981469265,13.971772123263518,5
12,4,25.118440929276645,3,19.553309846683863,3,0,9.788675771464773,12.702131832030242,5
10,9,14.663080785232605,3,7.798098719688307,5,0,31.222393748298366,24.50720628700818,5
10,7,4.41740964170321,4,-0.5893581936307459,3,0,51.55191440185036,30.91502016454817,5
10,5,14.314512949089227,3,7.985965314086272,2,0,38.7893742051916,25.686638054816303,5
12,6,22.882079475109997,4,19.299468394348708,3,0,5.085686126778457,13.218411211866242,5
10,7,9.96255567436244,3,-0.2936247687865059,3,0,52.558872511724005,28.81122704542907,5
10,6,14.666429914652884,3,5.405715548391536,1,0,38.15706243737048,26.721116340140778,5
10,6,13.222823317465258,3,5.214894335353069,4,0,39.248401612857684,28.542365777205486,5
10,6,14.33652226494535,3,5.12308865187609,4,0,38.441131526233434,26.2808182569235,5
12,5,24.26283487801095,2,18.510035120726272,3,0,6.003991471334944,14.482309104376522,5
10,8,9.759943014774457,1,5.192744460577869,0,0,36.7693041408358,28.888315895231784,5
10,6,13.140072255624066,2,3.1457270992705215,2,0,50.643465794409366,31.322295410549614,5
12,6,26.516544356896187,4,19.023055776006327,3,0,11.918464933179996,13.460314294536822,5
12,5,25.846433057011687,3,19.491889212065065,5,0,8.031164568487144,14.54498883154788,5
10,6,10.407568851969044,3,-0.35832133798546195,2,0,53.48654482640535,30.32519496824932,5
10,6,12.65819363356599,3,5.45647928184524,5,0,41.18904050449947,27.961399257380247,5
10,6,10.782625858892668,3,0.1308675326008082,4,0,50.18598390505665,29.741479023070376,5
12,8,23.19394283569602,4,18.585808952319628,5,0,5.963548291653238,13.16674405259539,5
10,6,12.362689294297756,4,2.982110790790209,5,0,51.07512129645783,27.885545200389057,5
10,5,12.283047387252537,4,0.5567957581873451,4,0,53.58499222581901,30.428712931614264,5
10,6,11.840553567653998,2,4.913561829134848,4,0,40.16056087568303,24.8504944295966,5
12,8,22.921728991361874,4,18.964033153400287,4,0,2.821033202176144,12.395709075959235,5
10,5,13.301487487523964,2,6.459226349283552,2,0,37.758742142194436,24.76238339240264,5
10,6,6.9632403434199714,4,0.28406595061499296,3,0,52.978530839650375,30.52610940087109,5
10,6,12.259553157993434,3,5.2872113468372826,3,0,37.1442511179575,29.72380714407939,5
10,6,12.54708078205993,3,3.7348298820455135,1,0,43.55983736857283,27.809208419862482,5
12,6,25.56234215873655,4,19.017741740465937,3,0,8.141107377858143,13.153018788305829,5
10,6,11.566802984411153,2,4.942095707579459,4,0,38.30608992288289,28.68008715164997,5
10,6,16.115833457538137,3,5.732144643002338,2,0,38.35449499188492,25.590061865769968,5
12,6,23.724083959954555,3,19.403179507641983,4,0,2.149177337016349,11.48405856991419,5
