0,1,2,3,4,5,6,7
0.9999864,0.21915022,0.94872886,0.6283734,0.9998639,-0.12618923,0.9936405,0.9992223
0.9999855,0.13523264,0.999797,0.6880342,0.99948806,-0.21017775,-0.82839453,0.99943745
0.99998474,0.15858193,0.9998359,0.7367772,0.9995002,-0.22804505,-0.82579064,0.9992488
0.9999811,0.114576116,0.99977493,0.6672691,0.9995725,-0.2651874,-0.83030826,0.9992811
0.9999825,0.15677726,0.99983495,0.74035144,0.99942315,-0.28766578,-0.8312378,0.99909747
0.9999881,0.19815896,0.95360833,0.71932757,0.9998403,-0.20065041,0.993146,0.99920905
0.9999853,0.2219063,0.9092508,0.6328037,0.999775,-0.14857277,0.99629086,0.9999999
0.99998724,0.12705944,0.9997619,0.60695,0.99958456,-0.21509771,-0.8339863,0.99929535
0.99998695,0.15281881,0.9998065,0.68324524,0.9995201,-0.20014049,-0.82878,0.99932945
0.99998,0.124945424,0.9997831,0.563056,0.9995614,-0.16109565,-0.83912367,0.9993087
0.9999889,0.19189213,0.87997806,0.39924228,0.9998464,-0.045292683,0.994741,0.9999753
0.99998087,0.1206262,0.9998003,0.6325566,0.99953264,-0.18717574,-0.83276576,0.9992757
0.9999867,0.21088777,0.9406374,0.6633516,0.9998288,-0.15133925,0.99409056,0.9992765
0.9999849,0.13441885,0.9998032,0.6681066,0.9994624,-0.20823413,-0.8285066,0.9993682
0.9999868,0.20993829,0.9470866,0.71362543,0.99981457,-0.17874579,0.9941337,0.9999724
0.9999892,0.22460988,0.9167207,0.67745245,0.99979675,-0.14011943,0.99602145,0.9999779
0.9999845,0.12677297,0.99977267,0.5763309,0.9995688,-0.16993105,-0.8338676,0.99935675
0.99998695,0.14783086,0.9997963,0.6956762,0.99938,-0.2587918,-0.83500266,0.99927235
0.999984,0.13267237,0.99980086,0.6576017,0.9994833,-0.219135,-0.8352536,0.9992893
0.9999857,0.21141532,0.9025368,0.5381305,0.99983245,-0.11093804,0.99513805,0.9991727
0.9999829,0.14837147,0.99981713,0.6641077,0.99954045,-0.1599694,-0.8267175,0.9994476
0.9999837,0.15645911,0.99981856,0.6454973,0.99951494,-0.10742965,-0.8328724,0.999562
0.99998766,0.21935967,0.9439259,0.66304135,0.99978864,-0.1926776,0.99428046,0.9999545
0.99998516,0.1977902,0.9063778,0.5872148,0.9998374,-0.11156832,0.9960292,0.9990211
0.99998873,0.24067387,0.94936967,0.8321564,0.9997676,-0.23913023,0.996147,0.99985415
0.99998605,0.18760604,0.92837644,0.5646392,0.9998119,-0.15463421,0.9935602,0.99937576
0.99999,0.17589165,0.99985653,0.79779327,0.99939644,-0.2695661,-0.8160573,0.99932426
0.99998635,0.16138136,0.99981856,0.713208,0.99943477,-0.25108927,-0.83443284,0.9992495
0.99998873,0.2302277,0.97563756,0.79323006,0.99978995,-0.2820874,0.9874308,0.9998531
0.9999833,0.1562678,0.9998464,0.7948671,0.99934345,-0.3102791,-0.82159215,0.9992593
0.9999845,0.20118147,0.92087644,0.63470155,0.9998273,-0.11267952,0.995659,0.9992426
0.9999897,0.21779618,0.94570196,0.7650377,0.9998097,-0.24748582,0.99471414,0.99941134
0.9999882,0.19414528,0.9285203,0.56621957,0.999835,-0.094166085,0.99379814,0.99941194
0.99998206,0.18953171,0.8710137,0.37616253,0.9998548,-0.0016826598,0.9961781,0.99998945
0.99998623,0.22437151,0.95631593,0.6867796,0.99984384,-0.11044734,0.9938309,0.99983484
0.9999882,0.21465321,0.927915,0.6958026,0.9998275,-0.16035198,0.9956754,0.9992621
0.99998605,0.21813186,0.9518014,0.638667,0.99985194,-0.16752015,0.99298805,0.99910736
0.99998575,0.19564159,0.9519452,0.6153598,0.9998707,-0.17622346,0.992762,0.9998783
